,Aff,Neg,Win
0,Interlake OW,Notre Dame BC,Aff
1,Quarry Lane HG,Kinkaid AK,Neg
2,Berkeley Prep RV,Jones FR,Aff
3,Winston Churchill MP,Notre Dame DP,Aff
4,Peninsula LL,Glenbrook North FP,Aff
5,Montgomery Bell HM,Peninsula JS,Aff
6,Bellarmine  OL,Carrollton School of the Sacred Heart RG,Aff
7,College Prep AB,Peninsula LW,Aff
8,Greenhill CL,Blue Valley North BK,Aff
9,Glenbrook South BW,Berkeley Prep SS,Aff
10,St Paul Central UB,Von Steuben LM,Aff
11,Polytechnic TK,Lowell BS,Neg
12,Bellarmine  DD,Katy Taylor WW,Aff
13,Interlake LY,Pace NS,Aff
14,Head-Royce AP,Berkeley Prep LL,Aff
15,Garfield TZ,Taipei American LC,Neg
16,Northview TC,Isidore Newman JN,Aff
17,San Marino LC,Shawnee Mission East HT,Aff
18,Liberal Arts and Science BS,Pace KG,Aff
19,Westwood BA,Washburn Rural BH,Aff
20,Westwood SG,Northside  AD,Aff
21,Bronx Science EK,Jesuit BP,Aff
22,Lane Tech  ZQ,Quarry Lane PS,Neg
23,Kenwood SW,Alpharetta IN,Aff
24,Bronx Science FC,Pace WE,Aff
25,Bronx Science GC,Walter Payton BR,Neg
26,Whitney Young BM,Glenbrook North WC,Neg
27,Berkeley Prep RG,Brophy SH,Aff
28,Washburn Rural CN,Notre Dame NP,Aff
29,Berkeley Prep LZ,Peninsula BB,Aff
30,Bellarmine  AQ,New Trier PH,Aff
31,Peninsula PY,Niles North WC,Aff
32,Montgomery Bell TB,Westminster VZ,Neg
33,St Mark's School of Texas PJ,Edina AC,Aff
34,Peninsula DY,Blue Valley North LP,Aff
35,McDowell LJ,Goode STEM CH,Aff
36,Glenbrook South MP,San Marino CJ,Aff
37,Blue Valley North PS,Niles West SS,Aff
38,Taipei American YL,Barstow SH,Aff
39,Montgomery Bell SJ,Archbishop Mitty MR,Aff
40,Isidore Newman WA,Washburn Rural CR,Neg
41,Lincoln Park BS,Iowa City RL,Neg
42,Berkeley Prep NY,Bellarmine  RH,Aff
43,Coppell SJ,Damien-St. Lucy's KN,Aff
44,Pine Crest MK,Liberal Arts and Science RL,Neg
45,Newark Science AO,Maine East GR,Aff
46,Pine Crest AE,Westminster LY,Neg
47,Greenhill BH,Northside  GT,Aff
48,Leland SL,Bellarmine  CG,Neg
49,Montgomery Bell RP,Von Steuben GL,Aff
50,Carrollton School of the Sacred Heart FB,Little Rock Central MK,Aff
51,Niles North MK,Taipei American HC,Aff
52,Park Tudor WX,Westminster GS,Neg
53,Munster TP,Peninsula LiLi,Neg
54,Westwood GK,Sonoma YK,Aff
55,Munster BW,Montgomery Bell KF,Neg
56,Glenbrook North CR,Olathe North MM,Aff
57,Jesuit LR,Sonoma BS,Aff
58,Munster KW,Hawken LK,Neg
59,Garfield NW,New Trier HW,Neg
60,Peninsula KK,Meadows KS,Aff
61,St Lucy's Priory GI,Von Steuben ML,Aff
62,Pace MG,Canyon Crest CS,Aff
63,Pine Crest RR,Greenhill AJ,Neg
64,New Trier MP,Iowa City CL,Aff
65,Maine East HP,Little Rock Central BF,Neg
66,Mamaroneck FC,Blue Valley North CT,Aff
67,Blue Valley Southwest PC,Walter Payton MD,Aff
68,Little Rock Central WC,BASIS Peoria JG,Neg
69,Edina BL,Damien-St. Lucy's CM,Aff
70,Notre Dame AM,Liberal Arts and Science BF,Neg
71,Glenbrook North DE,Shawnee Mission South MK,Neg
72,Wylie E. Groves XC,Hawken LS,Aff
73,Little Rock Central LW,NSU BL,Aff
74,Kenwood BH,Brophy PP,Neg
75,Maine East JN,Minneapolis South WB,Neg
76,Liberal Arts and Science CK,Sonoma LM,Aff
77,Montgomery Bell LS,Carrollton School of the Sacred Heart JF,Aff
78,Shawnee Mission South AZ,Blue Valley Southwest DT,Neg
79,Niles North CS,New Trier SY,Neg
80,Kenwood PW,Edina TS,Neg
81,St Paul Central MC,Lane Tech  JK,Aff
82,Shawnee Mission East PL,Johns Creek VG,Aff
83,Niles North McKa,Interlake CS,Neg
84,Liberal Arts and Science LM,College Prep JG,Neg
85,Sonoma MM,NSU AY,Aff
86,Quarry Lane CM,Washburn Rural CH,Aff
87,Liberal Arts and Science LR,Damien-St. Lucy's PP,Neg
88,Hawken KZ,Niles North SP,Neg
89,Head-Royce DW,Glenbrook North KS,Aff
90,Little Rock Central BG,Pittsburgh Central Catholic HS,Aff
91,Polytechnic BH,Mamaroneck MT,Neg
92,Georgetown Day MW,New Trier HJ,Neg
93,Lowell CL,Carrollton School of the Sacred Heart MG,Aff
94,Alpharetta MM,Glenbrook South KZ,Neg
