,Aff,Neg,Win
0,Montgomery Bell MM,Carrollton School of the Sacred Heart RG,Aff
1,Montgomery Bell WJ,Alpharetta CM,Aff
2,Montgomery Bell VT,Denmark BR,Aff
3,Alpharetta DL,Johns Creek HC,Neg
4,Carrollton School of the Sacred Heart DF,Montgomery Bell KF,Neg
5,Woodward CH,Alpharetta MM,Neg
6,Montgomery Bell RP,Johns Creek VG,Aff
7,Montgomery Bell RS,Alpharetta IN,Aff
8,USN CS,Carrollton School of the Sacred Heart FB,Neg
9,Woodward PD,Montgomery Bell DP,Aff
10,Pace MG,Carrollton School of the Sacred Heart MG,Aff
11,Woodward AR,Galloway IR,Neg
12,Woodward RS,Northview NL,Neg
13,Montgomery Bell/Harpeth Hall HB,Woodward HS,Aff
