,Aff,Neg,Win
0,Peninsula BB,Sonoma BM,Aff
1,Bellarmine  CG,West Campus (Sacramento) CM,Aff
2,Canyon Crest CL,Quarry Lane PS,Neg
3,College Prep BA,Lake Balboa BB,Aff
4,CK McClatchy DG,Peninsula JL,Neg
5,Lake Balboa PL,Peninsula KK,Neg
6,Lowell CL,California Academy of Mathematics and Science GL,Aff
7,VHTPA MH,Damien-St. Lucy's JM,Aff
8,Damien-St. Lucy's CM,Bravo BB,Aff
9,Liberal Arts and Science CK,Northwood ZY,Aff
10,Canyon Crest ZZ,Bellarmine  RH,Neg
11,Emery KW,Culver City RN,Neg
12,Bellarmine  OL,Sacred Heart Cathedral Prep BC,Aff
13,Westlake SB,Downtown Magnets LG,Neg
14,Archbishop Mitty DN,Ghidotti Early CL,Aff
15,Northwood SA,College Prep JT,Neg
16,College Prep JG,Bravo RF,Aff
17,Quarry Lane AM,Notre Dame BD,Aff
18,Notre Dame DP,VHTPA ON,Neg
19,Quarry Lane CK,Damien-St. Lucy's GI,Aff
20,VHTPA TT,Archbishop Mitty MR,Neg
21,Northwood GC,Damien-St. Lucy's DL,Aff
22,Damien-St. Lucy's KN,Culver City BL,Aff
23,Peninsula TW,College Prep GS,Aff
24,Albuquerque AE,Peninsula LL,Neg
25,Elizabeth Learning Center ES,Damien-St. Lucy's PP,Neg
26,Stockdale GT,San Marino PL,Aff
27,Canyon Crest LY,Elizabeth Learning Center CV,Aff
28,College Prep BT,Coppell TB,Neg
29,Notre Dame AM,Sonoma BS,Aff
30,Bellarmine  DD,Quarry Lane HG,Aff
31,Lake Balboa DS,Peninsula KX,Neg
32,Liberal Arts and Science BF,College Prep NE,Aff
33,Peninsula PY,New Designs-University Park CG,Aff
34,Elizabeth Learning Center TM,Peninsula DY,Neg
35,Bellarmine  AQ,ModernBrain JW,Aff
36,San Marino LC,ModernBrain SY,Aff
37,Lake Balboa NM,Peninsula LiLi,Neg
38,New Designs-University Park SS,Lowell SB,Neg
39,Notre Dame NY,VHTPA GR,Aff
40,ModernBrain PP,Notre Dame CP,Neg
41,Notre Dame GM,OES LR,Aff
42,Emery MT,Sacred Heart Cathedral Prep WL,Aff
43,Archbishop Mitty SS,Peninsula EW,Aff
44,ModernBrain LL,Sacred Heart Cathedral Prep FY,Neg
45,Peninsula ZZ,Huntington DS,Neg
