,Aff,Neg,Win
0,Duke Ellington SO,Lexington HS,Neg
1,BASIS DC PS,SWW WP,Aff
2,Lexington XB,Banneker BF,Neg
3,Brooklyn Technical RC,Georgetown Day MX,Neg
4,Boston Latin AL,Duke Ellington SA,Aff
5,BASIS DC TD,Lexington NJ,Neg
6,Mamaroneck WR,Georgetown Day DX,Neg
7,Lexington DS,SWW/Banneker BY,Aff
8,Brooklyn Technical GS,Calvert Hall SW,Aff
9,Banneker MP,Boston Latin LP,Neg
10,Georgetown Day GT,Baltimore City MW,Neg
11,SWW NN,BASIS DC AP,Neg
12,Fenway HM,Mamaroneck MS,Neg
13,Brooklyn Technical SH,Somerville KM,Aff
14,Georgetown Day RW,Baltimore City PM,Aff
15,Duke Ellington TG,Eleanor Roosevelt AA,Aff
16,Georgetown Day KN,Brooklyn Technical JL,Neg
17,CMIT North MG,Mamaroneck MK,Neg
18,Newark Science AO,Sidwell FV,Aff
19,Unionville KH,Newark Science OO,Neg
20,Somerville WC,Banneker ST,Aff
21,Baltimore City HP,BASIS DC MC,Neg
