,Aff,Neg,Win
0,Lowell CL,Stuyvesant KS,Neg
1,Brooklyn Technical GS,La Crosse Central TK,Aff
2,Stuyvesant BD,St George's CC,Neg
3,La Crosse Central FM,University HW,Aff
4,Lowell CG,Gunn KB,Neg
5,Branson WP,Clear Springs SG,Neg
6,Interlake LY,East Valley SD,Aff
7,St Mark's School of Texas PT,Parkrose HG,Neg
8,OES RL,Interlake CS,Neg
9,Lowell BS,Garfield HS,Aff
10,East Valley NH,St Mark's School of Texas RD,Neg
11,St Mark's School of Texas TK,Brooklyn Technical RC,Aff
12,Garfield BS,Lowell DR,Aff
13,Garfield TZ,Interlake OW,Neg
14,La Crosse Central YL,Ghidotti Early CL,Aff
