,Aff,Neg,Win
0,Shawnee Mission East BM,Pembroke Hill BC,Neg
1,Blue Valley TH,Blue Valley North PS,Neg
2,Olathe East DG,Shawnee Mission East PL,Neg
3,De Soto SC,Lawrence Free State FE,Neg
4,Blue Valley North BK,Shawnee Mission South AZ,Aff
5,Barstow KP,Blue Valley North NN,Aff
6,Manhattan AS,Eagan NM,Neg
7,Blue Valley Northwest JW,Manhattan TW,Aff
8,Eagan SW,Wichita East JS,Aff
9,Shawnee Mission South KC,Washburn Rural BL,Aff
10,Washburn Rural BH,Shawnee Mission South MM,Aff
11,Shawnee Mission East TH,Blue Valley Southwest HK,Aff
12,Lawrence Free State FW,Olathe North MM,Neg
13,Newton KN,Wichita East KZ,Aff
14,Shawnee Mission South SB,Blue Valley Southwest DT,Neg
15,Washburn Rural JK,Pembroke Hill JT,Aff
16,Eagan WW,Blue Valley West BG,Neg
17,Wichita East GL,Hayden BA,Neg
18,Washburn Rural RV,Shawnee Mission West WS,Neg
19,Blue Valley North LP,Wichita East SZ,Aff
20,Shawnee Mission South MJ,Barstow TD,Aff
21,Lawrence Free State PH,Washburn Rural CN,Aff
22,Blue Valley North CT,Pembroke Hill WA,Aff
23,Blue Valley Southwest PC,Blue Valley West VS,Aff
24,Wichita East FS,Blue Valley North MM,Neg
25,Pembroke Hill ZM,Olathe North FC,Neg
26,Blue Valley North DH,Shawnee Mission East DS,Neg
