,Aff,Neg,Win
0,Woodward RS,Galloway IR,Neg
1,Montgomery Bell WJ,Alpharetta IN,Neg
2,Woodward HS,Alpharetta MM,Neg
3,Carrollton School of the Sacred Heart DF,Woodward AR,Aff
4,Alpharetta CM,Montgomery Bell RP,Neg
5,USN CS,Carrollton School of the Sacred Heart RG,Aff
6,Montgomery Bell VT,Northview NL,Aff
7,Johns Creek VG,Montgomery Bell RA,Aff
8,Denmark BR,Montgomery Bell KF,Neg
9,Carrollton School of the Sacred Heart MG,Montgomery Bell MM,Neg
10,Pace MG,Montgomery Bell/Harpeth Hall HB,Neg
11,Woodward CH,Alpharetta DL,Aff
12,Woodward PD,Johns Creek HC,Neg
13,Montgomery Bell RS,Carrollton School of the Sacred Heart FB,Aff
