,Aff,Neg,Win
0,Dulles NM,Winston Churchill LR,Neg
1,Ronald Reagan FP,Northwood SG,Aff
2,Ore City BS,Dulles CI,Neg
3,Jesuit CJ,Stephen F. Austin MM,Aff
4,Baltimore City College MP,Northwood ZY,Neg
5,Jesuit LR,Baltimore City College PH,Aff
6,Westwood SG,Dallas Highland Park BC,Aff
7,Athens RH,Memorial CS,Aff
8,Memorial SW,Winston Churchill MP,Neg
9,Dulles KM,Clear Springs SG,Neg
10,Kinkaid AK,Baltimore City College WM,Neg
11,Langham Creek EY,Dulles AP,Aff
12,Northwood BC,BASIS San Antonio Shavano PK,Neg
