,Aff,Neg,Win
0,Glenbrook North CL,Solorio TG,Aff
1,Liberal Arts and Science LR,Thomas Kelly MG,Aff
2,Von Steuben GL,Glenbrook North SY,Neg
3,Maine East UH,Univ Of Chicago Lab EJ,Neg
4,New Trier AnSt,Glenbrook North FP,Neg
5,Von Steuben ML,Glenbrook South CP,Neg
6,Glenbrook South BW,Greenhill CL,Aff
7,Whitney Young BM,Peninsula LL,Neg
8,New Trier HJ,Walter Payton BR,Neg
9,Glenbrook North CiRi,Solorio MC,Neg
10,Niles North KM,New Trier PY,Neg
11,Peninsula DY,Jesuit LR,Neg
12,Liberal Arts and Science BF,Minneapolis South WB,Aff
13,Peninsula KK,Kenwood SW,Neg
14,Glenbrook South BF,Washburn Rural CH,Neg
15,Goode STEM CM,Niles North GH,Aff
16,Walter Payton MG,New Trier AS,Aff
17,Liberal Arts and Science BS,Glenbrook South MP,Aff
18,Jones HB,Glenbrook South KZ,Neg
19,Glenbrook North HW,Niles North GW,Neg
20,Glenbrook North DK,New Trier MP,Neg
21,Niles North HD,Maine East GR,Neg
22,Glenbrook South MM,Maine East JW,Neg
23,Von Steuben LM,Niles North CS,Neg
24,Northside  AD,Liberal Arts and Science LM,Neg
25,Washburn Rural CN,New Trier PH,Aff
26,Peninsula PY,Northside  OS,Aff
27,Glenbrook North CR,Univ Of Chicago Lab LL,Aff
28,Jesuit BP,Niles North MK,Neg
