,Aff,Neg,Win
0,Westminster VZ,Clear Springs SG,Aff
1,Glenbrook North SS,BASIS San Antonio Shavano PK,Neg
2,Franklin PS,Alpharetta IN,Neg
3,Alpharetta DL,St Mark's School of Texas JP,Neg
4,Glenbrook North DK,Quarry Lane YY,Neg
5,Montgomery Bell TB,Damien-St. Lucy's KN,Aff
6,Winston Churchill MP,Alpharetta MM,Neg
7,Quarry Lane KP,Woodward PR,Aff
8,Northview LT,Denmark BR,Aff
9,Parkrose HG,Northview NL,Aff
10,Carrollton School of the Sacred Heart JF,Glenbrook North DP,Aff
11,Damien-St. Lucy's DL,Marist AR,Neg
12,Alpharetta CR,Westminster HY,Neg
13,Quarry Lane AM,Westminster GS,Aff
14,Woodward AH,Okemos DT,Aff
15,Quarry Lane HG,Johns Creek VG,Neg
16,Woodward TJ,Quarry Lane AC,Neg
17,Alpharetta GM,Damien-St. Lucy's MO,Aff
18,Damien-St. Lucy's LW,Green Canyon OZ,Aff
19,James Logan GS,Northwood AG,Neg
20,Northwood SS,Quarry Lane PS,Neg
21,Eagan WW,Woodward CS,Aff
22,Liberal Arts and Science LR,Marist AC,Aff
23,ADL WL,Heights DG,Aff
24,ADL DC,Damien-St. Lucy's IG,Neg
25,Northwood BC,USN CR,Aff
26,BASIS San Antonio Shavano NR,Heights CM,Aff
