,Aff,Neg,Win
0,McDonogh VB,Stuyvesant WN,Neg
1,Calvert Hall HT,McDonogh KL,Aff
2,Northstar Academy HS - Newark MA,Lexington LM,Neg
3,Stuyvesant DV,Georgetown Day GK,Aff
4,Calvert Hall SW,Newark Science AO,Neg
5,Success Academy HSLA-MANHATTAN AB,Georgetown Day HG,Aff
6,Georgetown Day GX,Unionville HK,Aff
7,Calvert Hall AJ,Brooklyn Technical RC,Neg
8,Collegiate FK,Lexington WH,Neg
9,Lexington DS,George Washington MR,Aff
10,Lexington HS,Newark Science OO,Aff
11,Northstar Academy HS - Newark KS,Lexington DS,Neg
12,Success Academy HSLA-MANHATTAN WP,Mamaroneck MT,Aff
13,Brooklyn Technical JL,Georgetown Day DX,Neg
14,Northstar Academy HS - Newark AM,Stuyvesant FW,Neg
15,Georgetown Day MT,College Prep JG,Aff
16,Brooklyn Technical GH,Georgetown Day WR,Neg
17,Mamaroneck MS,Northstar Academy HS - Newark YQ,Aff
18,Newark Tech OB,Mamaroneck RW,Neg
19,McDonogh OB,Mamaroneck AT,Aff
20,Bronx Science HP,George Washington PA,Neg
21,Isidore Newman JN,Mamaroneck GA,Aff
22,Lexington JV,Willamette LB,Aff
23,Brooklyn Technical GA,Mamaroneck MK,Neg
24,Stuyvesant DE,Success Academy HSLA-MANHATTAN LP,Neg
25,Bronx Science AX,Brooklyn Technical CS,Neg
26,Lexington PS,Willamette PB,Neg
27,McDonogh CM,Pittsburgh Central Catholic AH,Neg
28,Stuyvesant SK,Mamaroneck CF,Neg
29,Newark Tech MR,Northstar Academy HS - Newark AA,Neg
30,Collegiate AS,McDonogh SP,Neg
31,NSU AY,Georgetown Day KN,Neg
32,Stuyvesant SP,Brooklyn Technical OS,Aff
