,Aff,Neg,Win
0,Lawrence Free State FH,Washburn Rural CH,Neg
1,Newton KN,Blue Valley West WJ,Neg
2,Blue Valley West SV,Blue Valley North CT,Aff
3,Shawnee Mission South MJ,Shawnee Mission East PH,Aff
