,Aff,Neg,Win
0,Austin Peace KF,BASIS San Antonio Shavano AT,Neg
1,Edmond Memorial HL,Dulles MN,Aff
2,Athens TS,Elkins PS,Aff
3,Westwood BA,Prosper CG,Aff
4,Rock Hill AS,BASIS San Antonio Shavano KP,Neg
5,Crossings Christian SP,Heritage Hall HH,Neg
6,Clear Springs SG,L C Anderson SW,Neg
7,Westwood GK,Dulles IC,Aff
8,Winston Churchill RL,Austin Peace SS,Aff
9,Tomball Memorial CN,Austin Peace SA,Neg
10,Greenhill MO,Langham Creek EY,Aff
11,Athens HR,Westwood GS,Neg
12,Heritage Hall HC,Melissa NT,Neg
13,Liberal Arts and Science LR,Prosper AV,Aff
14,Liberal Arts and Science CK,Jesuit LR,Neg
15,Prosper HS,Isidore Newman JN,Neg
16,Lake Travis SO,Jesuit BP,Aff
17,Winston Churchill LR,Greenhill LB,Aff
18,Langham Creek CT,Austin Peace KK,Neg
19,Winston Churchill MP,Westwood YS,Aff
20,Coppell JS,Liberal Arts and Science BS,Neg
21,Caddo Magnet MP,Westwood TL,Neg
22,Pharr San Juan Alamo Southwest CG,Coppell SP,Neg
23,Liberal Arts and Science VA,Niles West SS,Aff
24,Coppell GM,Dripping Springs CK,Neg
25,Winston Churchill CL,Hendrickson AH,Aff
26,Kinkaid AK,Greenhill BH,Neg
27,Caddo Magnet VA,Crossings Christian TL,Aff
28,Casady SS,McCallum MV,Aff
29,Claudia Taylor Johnson GR,Melissa SM,Aff
30,Jesuit CJ,Liberal Arts and Science RL,Neg
31,Reagan FP,Casady FJ,Aff
32,Greenhill CS,Liberal Arts and Science LM,Aff
