,Aff,Neg,Win
0,Franklin PS,Shawnee Mission East PL,Neg
1,Dowling Catholic BS,NSU AC,Neg
2,Edina AW,Iowa City RL,Neg
3,Lansing YO,Washington LZ,Aff
4,Maine East RS,La Crosse Central ST,Aff
5,Blue Valley West BT,Shawnee Mission East HT,Neg
6,Lowell BS,College Prep AB,Neg
7,NSU AY,Blue Valley West SV,Neg
8,Iowa City CL,Maize BR,Aff
9,Blue Valley West WA,Westminster YZ,Neg
10,Edina AC,Iowa City West SL,Aff
11,Lawrence Free State FH,Blue Valley TH,Aff
12,Blue Valley West MC,Washington BD,Aff
13,NSU BL,Lawrence Free State HF,Neg
14,Shawnee Mission West WS,Blue Valley West MJ,Aff
15,Maize CL,Unionville KH,Aff
16,Maine East JW,Baltimore City MW,Neg
17,La Crosse Central BL,Lowell CL,Neg
