,Aff,Neg,Win
0,Maine East JW,Whitney Young SP,Neg
1,Lane Tech  ZQ,Niles North MK,Neg
2,Walter Payton BS,Edina AC,Aff
3,Niles North CS,Northside  KP,Aff
4,Glenbrook South CF,Glenbrook North CR,Neg
5,Glenbrook North CL,Glenbrook South KZ,Neg
6,Minneapolis South WB,Lane Tech  JK,Aff
7,Iowa City CL,New Trier HP,Aff
8,New Trier SB,Pittsburgh Central Catholic AH,Neg
9,Niles North GW,Northside  OS,Aff
10,Northside  GT,Washington BD,Aff
11,Niles North HM,Iowa City RL,Neg
12,Glenbrook South MM,Northside  PP,Aff
13,Glenbrook South WB,Kenwood SW,Neg
14,Glenbrook North FP,Whitney Young BM,Neg
15,Goode STEM BH,Jones HB,Aff
16,Glenbrook North JW,Niles North SP,Neg
17,Walter Payton JF,Glenbrook South TB,Neg
18,Walter Payton DI,Maine East GR,Neg
19,Thomas Kelly MG,New Trier PY,Aff
20,Glenbrook South MP,New Trier HY,Aff
21,New Trier ShAn,Glenbrook North SY,Neg
22,Solorio MC,Northside  GL,Neg
23,Von Steuben BG,Whitney Young SW,Neg
24,Northside  CX,Univ Of Chicago Lab LL,Aff
25,Maine East MS,Glenbrook North DK,Aff
26,New Trier HJ,Jones FR,Aff
27,Von Steuben LM,Wylie E. Groves PS,Aff
28,Solorio GC,Northside  AV,Neg
29,Solorio MP,New Trier CT,Neg
30,New Trier MP,Whitney Young SV,Neg
31,Walter Payton DD,Glenbrook North DP,Aff
32,Glenbrook North SS,Von Steuben LL,Aff
33,Northside  AD,Kenwood PW,Aff
34,Solorio TV,Glenbrook North DeKo,Aff
35,Walter Payton YY,Kenwood BH,Aff
36,New Trier SW,Wylie E. Groves XC,Neg
37,Northside  DT,Avery Hybrid FB,Neg
