,Aff,Neg,Win
0,University OM,Avery Coonley JS,Aff
1,Taipei American YM,New Trier PY,Neg
2,Westminster HY,Avery Coonley AT,Aff
3,Success Academy HSLA-MANHATTAN KY,Taipei American HW,Neg
4,Univ Of Chicago Lab LL,VHTPA TN,Aff
5,Sharks Independent SW,Galloway DP,Neg
6,Westlake SB,Perry TD,Aff
7,ASPEC KB,Emerald HM,Aff
8,Sharks Independent OW,Avery Coonley TZ,Aff
9,Avery Coonley SS,Montgomery Bell RF,Neg
10,Wylie E. Groves XC,Northview NL,Aff
11,Fox Chapel Independent RL,ADL CC,Aff
12,Woodward JN,Denmark Independent BT,Neg
13,Branson WP,Montgomery Bell HM,Neg
14,New Trier HW,VHTPA MH,Neg
15,James Logan AA,Solon HC,Neg
16,New Trier SY,Central HS Springfield SS,Neg
17,Opus CC,Hill Country  VL,Aff
18,ADL KW,Sacred Heart Cathedral Prep WX,Neg
19,VHTPA GR,Lowell CL,Neg
20,Brophy SH,Pittsburgh Central Catholic HS,Aff
21,Johns Creek VG,Woodward CP,Aff
22,Greenhill NS,ADL CW,Aff
23,Blue Valley West VS,St Mark's School of Texas JP,Neg
24,New Trier HJ,Sidwell Independent VF,Aff
25,ADL YD,St Mark's School of Texas DP,Neg
26,Quarry Lane KP,Westminster PL,Neg
27,Sharks Independent YL,Sacred Heart Cathedral Prep CB,Neg
28,ADL WC,James Logan GS,Neg
29,ADL KC,Quarry Lane HG,Neg
30,Century WB,Success Academy HSLA-MANHATTAN TR,Aff
31,Princeton AF,New Trier MP,Neg
32,Success Academy HSLA-HARLEM CD,ADL SW,Neg
33,Sacred Heart Cathedral Prep FY,Avery Coonley FN,Aff
