,Aff,Neg,Win
0,San Marino PC,Peninsula PY,Neg
1,New Designs Charter School-University Park CS,Damien-St. Lucy's IG,Neg
2,Sonoma PM,OES RL,Neg
3,Polytechnic HG,Sonoma BD,Neg
4,Rowland Hall LD,Polytechnic TK,Neg
5,Meadows KR,Rowland Hall UV,Neg
6,Peninsula EW,Sonoma YK,Neg
7,Sonoma LM,Peninsula JS,Neg
8,Brophy PP,Damien-St. Lucy's PP,Neg
9,Notre Dame AM,Peninsula LW,Aff
10,College Prep JT,Meadows KS,Aff
11,College Prep AB,Peninsula KX,Neg
12,Quarry Lane AM,Rowland Hall HG,Aff
13,CK McClatchy PG,Lake Balboa PG,Aff
14,Head-Royce DW,Peninsula LiLi,Neg
15,Notre Dame DN,Peninsula DY,Neg
16,Rowland Hall SC,Lake Balboa DB,Aff
17,Quarry Lane AC,Damien-St. Lucy's KN,Aff
18,Brophy SH,Westlake SB,Aff
19,Peninsula TW,San Marino CJ,Aff
20,Damien-St. Lucy's CM,Fort Collins EF,Aff
21,Meadows GK,Peninsula KK,Neg
22,Peninsula FL,Notre Dame DP,Aff
23,Peninsula BB,San Marino PM,Aff
