,Aff,Neg,Win
0,Salem Hills DD,George Washington MR,Neg
1,Green Canyon EH,West HS SLC AK,Neg
2,College Prep NS,Rowland Hall GH,Neg
3,Meadows KK,Notre Dame AM,Neg
4,Green Canyon ZO,George Washington MB,Neg
5,Barstow GH,Rowland Hall DL,Aff
6,Notre Dame ND,Rowland Hall CS,Aff
7,Sonoma KY,Fort Collins FY,Aff
8,Head-Royce DW,Rowland Hall UV,Aff
9,Sonoma KB,College Prep BT,Neg
10,Barstow SB,George Washington VS,Aff
11,Head-Royce AP,George Washington PA,Aff
12,Corner Canyon KD,College Prep JG,Neg
13,College Prep BA,Alta CL,Aff
14,Notre Dame DP,Fort Collins CI,Aff
15,Park City LS,College Prep JT,Neg
16,Park City LC,Barstow TM,Aff
17,West HS SLC JS,George Washington JZ,Aff
18,Sonoma PB,Notre Dame GM,Neg
19,Notre Dame BC,Sonoma ML,Aff
