,Aff,Neg,Win
0,Head-Royce DW,Notre Dame AM,Neg
1,Sonoma PB,Green Canyon EH,Neg
2,Sonoma KB,George Washington VS,Neg
3,Rowland Hall HG,College Prep AB,Neg
4,College Prep JG,West HS SLC KA,Aff
5,Park City LS,Fort Collins CI,Neg
6,Notre Dame GM,Rowland Hall UV,Neg
7,Alta CL,Barstow TM,Neg
8,Meadows KK,George Washington JZ,Neg
9,Notre Dame DN,College Prep NS,Aff
10,Corner Canyon DK,Salem Hills DD,Neg
11,Notre Dame BC,College Prep JT,Neg
12,George Washington PA,Green Canyon OZ,Aff
13,College Prep BT,West HS SLC JS,Neg
14,Rowland Hall SC,George Washington MR,Neg
15,Rowland Hall LD,Sonoma LM,Neg
16,Park City LC,Fort Collins FY,Neg
17,Sonoma YK,Head-Royce AP,Neg
18,George Washington MB,Barstow BS,Neg
19,Notre Dame DP,Barstow GH,Aff
