,Aff,Neg,Win
0,Johns Creek VG,Kenwood PW,Aff
1,New Trier MP,Kenwood SW,Neg
2,Wylie E. Groves XC,Kenwood BH,Aff
3,Avery Coonley FB,Glenbrook South CF,Aff
4,New Trier PH,Mamaroneck MP,Neg
5,Cathryn Gorman Independent CG,Mamaroneck MT,Neg
6,New Trier ArSh,Glenbrook South MM,Neg
7,Green Canyon OZ,Glenbrook South KZ,Neg
8,New Trier AS,Mamaroneck AG,Neg
9,University OM,Glenbrook North FP,Aff
10,New Trier HY,Mamaroneck FC,Neg
11,Pace KG,Hawken LS,Aff
12,New Trier HJ,Liberal Arts and Science CK,Aff
13,New Trier PY,Liberal Arts and Science VA,Neg
14,Walter Payton BR,Hawken KZ,Aff
15,New Trier SW,Hawken LK,Neg
16,McDonogh SP,Liberal Arts and Science LR,Neg
17,Denmark Independent BL,Whitney Young SW,Aff
18,New Trier CT,Liberal Arts and Science BF,Neg
19,Pine Crest RR,Whitney Young BM,Neg
20,Northside  OS,Liberal Arts and Science LiRa,Neg
21,Northside  DT,Lane Tech  GS,Aff
22,Minneapolis South WB,Whitney Young SP,Aff
23,Opus CC,Carrollton School of the Sacred Heart RG,Neg
24,Northside  WP,Lane Tech  CJ,Neg
25,Northside  GL,Carrollton School of the Sacred Heart MG,Aff
26,Okemos DT,Lane Tech  RN,Aff
27,Northside  AV,Lane Tech  KS,Aff
28,Maine East GR,Carrollton School of the Sacred Heart JF,Aff
29,Northside  AD,Niles West VK,Neg
30,Maine East AJ,Lane Tech  ZQ,Neg
31,Northside  GT,Niles North CS,Neg
32,Solorio MC,Niles West SS,Neg
33,Solorio VC,Niles West RK,Neg
34,Berkeley Prep LZ,Niles North KM,Aff
35,Barstow SH,Woodward NP,Aff
36,Berkeley Prep RV,Niles North GW,Aff
37,Berkeley Prep SS,Woodward CM,Neg
38,Barstow BM,Niles North ChSh,Neg
39,Westminster HY,Woodward AH,Aff
40,Berkeley Prep RG,Niles North HD,Aff
41,Berkeley Prep NY,Herbert Henry Dow OV,Aff
42,Westminster VZ,Montgomery Bell SJ,Neg
43,Berkeley Prep LL,Montgomery Bell RF,Neg
44,St Ignatius GG,Herbert Henry Dow CC,Aff
45,St Ignatius FK,Montgomery Bell LS,Neg
46,Glenbrook North SY,Univ Of Chicago Lab LL,Neg
47,Northview TC,Univ Of Chicago Lab SJ,Aff
48,Glenbrook North CL,Montgomery Bell RP,Neg
49,Northview TN,Solon GH,Neg
50,Glenbrook North CiRi,Montgomery Bell TB,Neg
51,Iowa City CV,Solon CN,Aff
52,Glenbrook North CR,Iowa City LL,Aff
53,Glenbrook North WK,Glenbrook South PB,Neg
