,Aff,Neg,Win
0,University SM,Clear Springs SG,Neg
1,Lowell BS,St Mark's School of Texas HD,Aff
2,St George's CC,University HW,Aff
3,Stuyvesant BD,Interlake OW,Aff
4,East Valley SD,Lowell CL,Neg
5,Interlake CS,La Crosse Central YL,Aff
6,Brooklyn Technical GS,Stuyvesant KS,Aff
7,St Mark's School of Texas TK,Garfield TZ,Aff
8,Parkrose HG,OES RL,Aff
9,Lowell DR,La Crosse Central TK,Neg
10,Brooklyn Technical RC,Lowell CG,Aff
11,Ghidotti Early CL,St Mark's School of Texas PT,Neg
12,La Crosse Central FM,Gunn KB,Neg
13,Interlake LY,Branson WP,Neg
14,La Crosse Central LC,Garfield HS,Neg
15,St Mark's School of Texas RD,Garfield BS,Aff
