,Aff,Neg,Win
0,Blue Valley North MM,Shawnee Mission East DS,Neg
1,Shawnee Mission South MJ,Shawnee Mission West WS,Aff
2,Blue Valley North BK,Olathe North FC,Neg
3,Pembroke Hill JT,Lansing AW,Neg
4,Blue Valley Northwest JW,Blue Valley North PS,Neg
5,Lawrence Free State FE,Newton KN,Aff
6,Manhattan TW,Lawrence Free State FW,Aff
7,Blue Valley West VS,Blue Valley Southwest HK,Aff
8,Barstow TD,Washburn Rural BL,Neg
9,Blue Valley TH,Wichita East FS,Aff
10,Washburn Rural CR,Eagan NM,Aff
11,De Soto SC,Pembroke Hill ZM,Neg
12,Eagan WW,Blue Valley North DH,Aff
13,Wichita East KZ,Shawnee Mission South MM,Aff
14,Blue Valley Southwest PC,Blue Valley North LP,Aff
15,Washburn Rural RV,Park Hill South SV,Aff
16,Blue Valley North NN,Olathe East DG,Neg
17,Lawrence Free State PH,Shawnee Mission East BM,Aff
18,Blue Valley West BG,Eagan SW,Neg
19,Shawnee Mission South KC,Blue Valley North CT,Neg
20,Washburn Rural BH,Barstow KP,Aff
21,Shawnee Mission South SB,Wichita East SZ,Aff
22,Pembroke Hill BC,Washburn Rural JK,Neg
23,Shawnee Mission East TH,Blue Valley Southwest DT,Neg
24,Manhattan AS,Pembroke Hill WA,Neg
25,Olathe North MM,Washburn Rural CN,Neg
26,Shawnee Mission East PL,Hayden BA,Aff
27,Wichita East JS,Shawnee Mission South AZ,Aff
