,Aff,Neg,Win
0,Ronald Reagan FP,Clear Springs SG,Aff
1,Athens RH,Dallas Highland Park BC,Neg
2,Kinkaid AK,BASIS San Antonio Shavano PK,Aff
3,Langham Creek EY,Baltimore City College WM,Aff
4,Memorial CS,Jesuit LR,Neg
