,Aff,Neg,Win
0,Berkeley Prep RZ,Greenhill MB,Aff
1,George Washington VS,Greenhill MS,Neg
2,Kinkaid AK,Woodward PN,Neg
3,L C Anderson SW,Jesuit LR,Aff
4,Greenhill BH,Coppell JS,Neg
5,Memorial SC,Friendswood PH,Aff
6,Ronald Reagan FP,Dallas Highland Park CB,Neg
7,Isidore Newman JN,St Mark's School of Texas TK,Neg
8,Westwood GS,Dripping Springs BC,Aff
9,Lovejoy PW,Jenks HG,Aff
10,Liberal Arts and Science BF,St Mark's School of Texas JB,Aff
11,Greenhill AX,BASIS San Antonio Shavano KP,Neg
12,Westwood LU,Jesuit MW,Aff
13,Heritage Hall HC,Niles West KS,Neg
14,Lake Travis SO,Westwood ST,Neg
15,Dripping Springs KT,Berkeley Prep GS,Neg
16,Westwood GK,Liberal Arts and Science LM,Aff
17,Dulles IC,Little Rock Central NT,Aff
18,Barack Obama Male Leadership Academy (HS) VT,Winston Churchill LyRo,Neg
19,Jesuit CJ,Friendswood AK,Neg
20,Coppell TB,Woodward CM,Neg
21,Greenhill BC,Caddo Magnet VA,Neg
22,Damien-St. Lucy's OC,Winston Churchill LR,Aff
23,Damien-St. Lucy's PP,St Mark's School of Texas DH,Aff
24,Woodward JT,George Washington MR,Neg
25,Niles West SV,Winston Churchill MP,Neg
26,Melissa NT,Damien-St. Lucy's KN,Neg
