,Aff,Neg,Win
0,Westwood GS,Dulles IC,Aff
1,Kinkaid AK,Westwood GK,Neg
2,Melissa NT,Clear Springs SG,Neg
3,BASIS San Antonio Shavano KP,L C Anderson SW,Neg
4,Winston Churchill MP,Athens HR,Neg
5,Jesuit LR,Liberal Arts and Science CK,Neg
6,Greenhill MO,Westwood TL,Aff
7,Lake Travis SO,Westwood AS,Neg
