,Aff,Neg,Win
0,Peninsula SW,Westview ST,Aff
1,Peninsula MP,Lake Balboa PL,Neg
2,Peninsula PY,Canyon Crest CS,Aff
3,Damien-St. Lucy's BS,Peninsula LiLi,Neg
4,Damien-St. Lucy's GI,Peninsula UV,Aff
5,Canyon Crest KR,Peninsula LW,Neg
6,Canyon Crest CL,Damien-St. Lucy's KN,Neg
7,Peninsula ZZ,Lake Balboa NM,Neg
8,Lake Balboa DS,Peninsula CK,Aff
9,Damien-St. Lucy's JC,San Marino PM,Aff
10,Canyon Crest LP,ModernBrain YW,Neg
11,Peninsula EW,ModernBrain LL,Aff
12,Mission Vista FC,Canyon Crest ZZ,Aff
13,Canyon Crest DN,Huntington Park DS,Neg
14,Peninsula BB,Huntington Park BP,Aff
15,ModernBrain PP,Damien-St. Lucy's MR,Aff
16,ModernBrain KL,Damien-St. Lucy's DS,Neg
17,Lake Balboa BG,ModernBrain LS,Aff
