,Aff,Neg,Win
0,NSU BL,Calvert Hall HT,Aff
1,Somerville SK,Duke Ellington SO,Neg
2,SWW DP,Poly Prep BB,Aff
3,Mamaroneck MP,Success Academy HSLA-MANHATTAN LP,Aff
4,Bronx Science AL,Newark Science AO,Neg
5,BASIS DC MC,Bronx Science EK,Aff
6,BASIS DC TP,Eliot Hine TT,Aff
7,Boston Latin PA,Somerville CU,Aff
8,Boston Latin LL,BASIS DC AS,Neg
9,Somerville MW,Weequahic GO,Aff
10,Bronx Science GC,Eleanor Roosevelt AA,Aff
11,AHS @PGCC MR,Bronx Science FC,Neg
12,Forest Park AF,Georgetown Day KN,Neg
13,Success Academy HSLA-MANHATTAN WO,Northstar Academy HS - Newark QY,Aff
14,NSU AY,McDowell LJ,Aff
15,John D. O'Bryant School Of Mathematics And Science BM,Banneker GY,Neg
16,Newark Tech BO,Pine Crest GG,Aff
17,Bronx Science OZ,Georgetown Day GG,Aff
18,Peninsula KK,Pine Crest CT,Aff
19,Newark Science OO,Poly Prep LB,Aff
20,Eleanor Roosevelt NM,Peninsula EW,Aff
21,Mamaroneck WR,Georgetown Day MX,Neg
22,Weequahic BH,Somerville CM,Neg
23,Northstar Academy HS - Newark AM,Mamaroneck MT,Aff
24,SWW WP,Wylie E. Groves XC,Neg
25,Mamaroneck MK,BASIS DC PD,Aff
26,Weequahic SG,NSU AC,Neg
27,Peninsula LL,Newark Science LA,Neg
28,Calvert Hall SW,Mamaroneck SW,Aff
29,Ruth Batson FN,Pine Crest AE,Neg
