,Aff,Neg,Win
0,Notre Dame BC,Damien-St. Lucy's PP,Neg
1,Canyon Crest LC,Peninsula DY,Neg
2,Rowland Hall HG,Niles West VK,Aff
3,Brophy PP,Oak Ridge AH,Aff
