,Team,ELO,Aff_ELO,Neg_ELO,Aff_Rounds,Neg_Rounds
416,Lake Balboa PG,1081.153,1354.244,965.051,3.0,3.0
417,Lake Balboa PL,1366.618,1561.485,1329.43,7.0,6.0
418,Lake Travis SO,1871.573,1714.31,1758.96,7.0,5.0
419,Lane Tech  CJ,1236.406,1084.359,1288.366,3.0,3.0
420,Lane Tech  GS,1021.148,1288.428,1173.536,3.0,2.0
421,Lane Tech  JK,1733.763,1545.648,1800.437,7.0,6.0
422,Lane Tech  KS,895.78,1092.966,1007.165,2.0,3.0
423,Lane Tech  RN,774.224,962.91,917.041,3.0,3.0
424,Lane Tech  ZQ,1862.531,1830.394,1775.608,10.0,11.0
425,Langham Creek CT,585.246,977.509,990.434,3.0,3.0
426,Langham Creek EY,1721.807,1578.496,1682.872,3.0,3.0
427,Lansing AW,1727.133,1402.173,1914.758,3.0,2.0
428,Lansing YO,1938.521,2331.978,1575.388,4.0,4.0
429,Lawrence Free State EP,1610.196,1786.162,1386.656,6.0,6.0
430,Lawrence Free State FE,2061.567,2051.353,1751.387,5.0,4.0
431,Lawrence Free State FH,2166.751,2202.053,2029.248,14.0,15.0
432,Lawrence Free State FW,1237.886,1315.365,1399.682,3.0,3.0
433,Lawrence Free State HaFi,1607.55,1417.867,1743.592,3.0,3.0
434,Lawrence Free State HF,1750.803,1906.217,1336.888,6.0,6.0
435,Lawrence Free State PH,1978.708,2108.492,1671.325,3.0,4.0
436,Leland SL,2203.927,2000.581,2286.9,4.0,3.0
437,Leon Goldstein CS,1758.464,1910.466,1451.89,2.0,3.0
438,Lexington HS,1732.412,1657.979,1710.82,12.0,13.0
439,Lexington JV,1295.925,1753.76,1055.551,3.0,3.0
440,Lexington KB,892.592,1164.053,773.207,4.0,5.0
441,Lexington LM,2154.68,2017.747,2080.758,17.0,15.0
442,Lexington NJ,1398.951,1345.611,1383.027,3.0,3.0
443,Lexington NS,1461.811,1450.883,1241.009,7.0,5.0
444,Lexington PS,693.586,985.348,986.265,5.0,4.0
445,Lexington SD,1600.0,1600.0,1600.0,0.0,0.0
446,Lexington SiDa,817.036,1302.061,798.437,3.0,3.0
447,Lexington WH,2179.477,1918.077,2410.909,18.0,19.0
448,Lexington XB,1093.045,1066.113,1245.768,6.0,5.0
449,Liberal Arts and Science BF,2477.03,2311.555,2539.012,26.0,27.0
450,Liberal Arts and Science BS,2614.49,2620.81,2504.952,27.0,27.0
451,Liberal Arts and Science BV,2232.987,2127.735,2012.589,6.0,6.0
452,Liberal Arts and Science CK,2319.878,2317.685,2241.253,18.0,21.0
453,Liberal Arts and Science LiRa,2084.097,1980.092,1888.415,4.0,3.0
454,Liberal Arts and Science LM,2147.634,2069.632,2148.479,21.0,23.0
455,Liberal Arts and Science LR,2154.282,2055.784,2128.338,23.0,24.0
456,Liberal Arts and Science RL,2123.291,2012.315,2103.829,9.0,11.0
457,Liberal Arts and Science VA,1680.394,1649.336,1545.772,7.0,6.0
458,Lincoln Park BS,1717.955,1594.929,1610.397,4.0,3.0
459,Little Rock Central BF,1737.969,1829.959,1560.255,13.0,12.0
460,Little Rock Central BG,1412.128,1394.49,1167.247,10.0,9.0
461,Little Rock Central BW,1299.093,1408.936,1286.299,6.0,6.0
462,Little Rock Central GT,1556.695,1622.319,1497.213,6.0,6.0
463,Little Rock Central KC,1789.796,1779.481,1775.227,4.0,3.0
464,Little Rock Central LW,2122.377,1913.832,2117.719,22.0,25.0
465,Little Rock Central MK,838.562,1159.29,954.928,4.0,3.0
466,Little Rock Central NT,1784.149,1687.827,1759.314,9.0,9.0
467,Little Rock Central TB,1725.732,1797.165,1408.57,3.0,2.0
468,Little Rock Central WC,1626.069,1176.88,1696.034,4.0,3.0
469,Little Rock Central WK,1276.264,1299.697,1165.177,3.0,3.0
470,Lovejoy PW,2062.556,1953.932,1722.766,4.0,3.0
471,Lowell CL,2171.275,2169.639,2027.246,19.0,14.0
472,Lowell SB,2024.568,1448.73,2401.382,10.0,9.0
473,Madison Central AW,1523.537,1609.193,1486.461,3.0,3.0
474,Maine East AJ,1239.029,1215.833,1075.838,5.0,6.0
475,Maine East GR,1740.822,1483.687,1845.708,17.0,18.0
476,Maine East HP,1348.659,1204.141,1425.549,4.0,3.0
477,Maine East JN,1757.165,1570.311,1845.544,4.0,3.0
478,Maine East JW,1631.278,1539.749,1582.325,12.0,12.0
479,Maine East MS,1097.674,1623.785,1020.394,3.0,3.0
480,Maine East RS,1677.555,1739.526,1467.825,3.0,3.0
481,Maine East RU,1238.965,1586.037,1032.841,3.0,3.0
482,Maine East UH,1100.212,1259.972,1246.038,3.0,3.0
483,Maize BR,1139.431,1202.37,1137.895,6.0,5.0
484,Maize CL,1909.561,1832.767,1829.159,12.0,14.0
485,Mamaroneck AT,656.0,931.043,1024.722,3.0,3.0
486,Mamaroneck CF,2264.304,2243.811,2243.051,15.0,18.0
487,Mamaroneck GA,2249.765,2116.453,2235.421,15.0,18.0
488,Mamaroneck MK,1610.606,1375.16,1745.061,11.0,9.0
489,Mamaroneck MP,2308.683,2177.158,2215.645,7.0,7.0
490,Mamaroneck MS,2043.406,1988.872,2040.796,16.0,15.0
491,Mamaroneck MT,2066.265,1860.526,2230.748,18.0,17.0
492,Mamaroneck RW,1738.877,1558.84,1857.395,13.0,12.0
493,Mamaroneck SW,1711.937,1777.749,1594.295,3.0,3.0
494,Manhattan AS,1552.028,1301.44,1712.565,5.0,6.0
495,Manhattan BB,1247.799,1238.605,1654.709,3.0,3.0
496,Manhattan HW,1211.862,1429.266,1393.529,3.0,3.0
497,Manhattan TF,1529.301,1351.315,1832.82,3.0,3.0
498,Manhattan TW,1383.17,1586.003,1181.378,3.0,3.0
499,Marist AC,1412.556,1421.955,1455.9,6.0,5.0
500,Marist AR,1638.544,1366.926,1751.134,6.0,6.0
501,Marist CL,1257.929,1206.252,1517.377,6.0,6.0
502,McCallum MV,1241.105,1553.283,958.194,3.0,3.0
503,McDonogh AH,1340.123,1448.996,1474.744,3.0,3.0
504,McDonogh CM,1300.982,1437.883,1365.195,6.0,6.0
505,McDonogh KL,1552.005,1436.62,1548.75,9.0,9.0
506,McDonogh OB,1040.081,1273.898,1243.783,3.0,3.0
507,McDonogh SP,2014.087,1862.323,1960.353,23.0,29.0
508,McDonogh VB,1159.928,1123.862,1402.335,6.0,6.0
509,McDowell LJ,1538.435,1641.25,1245.182,3.0,4.0
510,Meadows CK,964.208,1324.987,816.564,3.0,3.0
511,Meadows GS,1732.027,1562.895,1777.468,3.0,3.0
512,Meadows HS,1493.727,1199.38,1497.034,2.0,3.0
513,Meadows KG,2090.753,1664.596,2199.771,3.0,4.0
514,Meadows KK,1306.105,1430.563,1249.795,3.0,3.0
515,Meadows RK,1313.077,1328.959,1355.608,6.0,6.0
516,Meadows SK,1746.945,1588.324,1694.879,13.0,12.0
517,Melissa NT,1701.214,1558.595,1719.608,10.0,9.0
518,Melissa SM,991.549,1192.906,982.447,3.0,3.0
519,Memorial SC,1223.453,1449.996,1146.308,3.0,3.0
520,Mill Valley FP,1296.964,1545.364,1179.311,6.0,6.0
521,Mill Valley HK,1323.249,1417.083,1234.714,6.0,6.0
522,Minneapolis South WB,2089.672,2247.809,1789.217,22.0,21.0
523,Mission Vista FC,1194.206,1511.216,1280.293,3.0,3.0
524,ModernBrain JW,721.301,934.912,1205.867,3.0,3.0
525,ModernBrain KL,936.596,998.871,1233.765,3.0,3.0
526,ModernBrain LL,868.098,1231.535,738.373,6.0,5.0
527,ModernBrain LS,1344.371,1530.54,1320.934,3.0,3.0
528,ModernBrain PP,1357.497,1522.401,1388.584,6.0,6.0
529,ModernBrain SY,988.782,930.551,1332.937,3.0,3.0
530,ModernBrain YW,1257.2,1348.204,1535.59,3.0,3.0
531,Montgomery Bell BT,1600.0,1600.0,1600.0,0.0,0.0
532,Montgomery Bell HM,2524.024,2537.788,2401.296,17.0,25.0
533,Montgomery Bell KF,1923.565,1718.887,1881.951,13.0,12.0
534,Montgomery Bell MM,2431.923,2568.65,2230.162,4.0,5.0
535,Montgomery Bell PD,1267.497,1007.438,1444.155,3.0,3.0
536,Montgomery Bell PR,2211.295,2230.853,2006.002,20.0,19.0
537,Montgomery Bell RF,1608.807,1064.976,1869.678,5.0,7.0
538,Montgomery Bell RS,1536.897,1744.585,1297.33,3.0,3.0
539,Montgomery Bell RW,899.814,1239.692,949.327,3.0,3.0
540,Montgomery Bell SJ,2374.029,2305.473,2251.608,27.0,21.0
541,Montgomery Bell SL,2137.978,2054.557,2084.289,19.0,22.0
542,Munster BW,1522.0,1438.326,1483.533,3.0,4.0
543,Munster KW,1614.789,999.013,1956.445,3.0,4.0
544,Munster TP,827.232,936.537,988.218,3.0,4.0
545,New Designs Charter School-University Park CS,838.915,1018.995,1121.945,3.0,3.0
546,New Designs-University Park CG,769.912,1023.082,1116.45,3.0,3.0
547,New Designs-University Park SS,723.971,1006.956,926.222,3.0,3.0
548,New Trier AnSt,1668.296,1247.606,1679.201,3.0,3.0
549,New Trier ArSh,1881.67,1271.101,2160.737,3.0,3.0
550,New Trier AS,1442.247,1263.163,1482.602,6.0,6.0
551,New Trier CS,2022.759,1888.573,2108.213,3.0,4.0
552,New Trier CT,1501.075,1565.386,1520.804,6.0,6.0
553,New Trier HJ,2069.415,2006.925,2034.867,30.0,31.0
554,New Trier HP,1781.086,1744.303,1652.993,15.0,16.0
555,New Trier HW,1487.96,1342.413,1665.265,10.0,9.0
556,New Trier HY,1725.354,1268.341,1959.02,12.0,12.0
557,New Trier MP,2183.65,1989.673,2238.678,23.0,27.0
558,New Trier NH,1806.168,1613.971,2012.053,3.0,4.0
559,New Trier PY,1537.277,1272.936,1723.233,12.0,12.0
560,New Trier SB,1583.001,1376.746,1898.483,3.0,3.0
561,New Trier ShAn,1532.397,1705.632,1414.536,3.0,3.0
562,New Trier SW,2029.423,2041.991,1889.661,16.0,17.0
563,New Trier SY,2145.82,1995.095,2231.534,11.0,10.0
564,Newark Science AO,2172.324,2253.291,2072.727,27.0,30.0
565,Newark Science OO,1741.722,1657.548,1744.917,19.0,16.0
566,Newark Tech MR,643.193,1061.105,940.553,3.0,3.0
567,Newark Tech OB,1028.042,1344.147,1282.132,6.0,6.0
568,Newton KN,2126.577,2017.612,2008.358,13.0,10.0
569,Niles North ChSh,1908.909,1778.731,2036.315,3.0,3.0
570,Niles North CR,1698.653,1918.935,1528.983,3.0,3.0
571,Niles North CS,2129.292,2143.952,2016.096,29.0,24.0
572,Niles North GH,771.309,1039.516,1071.439,3.0,3.0
573,Niles North GW,1926.715,1859.692,1875.026,13.0,11.0
574,Niles North HD,1455.944,1408.669,1364.465,8.0,9.0
575,Niles North HM,1122.224,1392.272,1066.104,3.0,3.0
576,Niles North KB,754.567,973.976,1197.981,3.0,2.0
577,Niles North KM,1936.59,1950.769,1729.163,8.0,10.0
578,Niles North McKa,1852.451,1272.744,2089.941,3.0,4.0
579,Niles North MK,2185.064,2263.464,2010.521,19.0,25.0
580,Niles North SP,1852.14,1810.798,1788.303,16.0,15.0
581,Niles North WC,1629.07,1369.83,1709.793,3.0,4.0
582,Niles West KS,1632.626,1192.671,1864.486,3.0,3.0
583,Niles West RK,1218.277,1228.54,1193.35,9.0,9.0
584,Niles West SS,1579.998,1578.401,1554.665,16.0,14.0
585,Niles West SV,1783.858,1651.222,1622.049,6.0,6.0
586,Niles West VK,2090.138,2190.49,1823.946,7.0,7.0
587,North Lake Early BC,1124.773,1291.608,1148.026,3.0,3.0
588,Northside  AD,1895.455,1805.447,1871.718,21.0,18.0
589,Northside  AV,1520.756,1568.91,1411.83,9.0,9.0
590,Northside  CX,1861.387,1780.45,1837.184,6.0,6.0
591,Northside  DT,1515.617,1513.971,1409.116,6.0,5.0
592,Northside  GL,1772.624,1591.642,1737.329,5.0,6.0
593,Northside  GT,1771.987,1592.854,1866.523,16.0,15.0
594,Northside  KP,1665.811,1419.409,1796.506,6.0,6.0
595,Northside  OS,1946.553,1685.251,1905.091,9.0,9.0
596,Northside  PP,1558.6,1668.402,1505.667,3.0,3.0
597,Northside  WP,1416.339,1154.098,1810.461,3.0,2.0
598,Northstar Academy HS - Newark AA,1189.502,1261.201,1469.735,3.0,3.0
599,Northstar Academy HS - Newark AM,1397.623,1451.395,1253.405,6.0,6.0
600,Northstar Academy HS - Newark KS,1379.936,1618.583,1149.639,3.0,3.0
601,Northstar Academy HS - Newark MA,2156.615,1846.594,2331.759,4.0,5.0
602,Northstar Academy HS - Newark YQ,1686.471,1773.604,1469.828,6.0,6.0
603,Northview CT,2548.086,2414.895,2531.844,20.0,16.0
604,Northview LT,2014.048,1932.373,1870.651,6.0,6.0
605,Northview NL,1600.0,1600.0,1600.0,0.0,0.0
606,Northview TN,1863.281,1819.264,1903.94,3.0,3.0
607,Northwood AG,1652.624,1594.878,1765.289,3.0,3.0
608,Northwood CB,1598.734,1645.59,1588.545,3.0,3.0
609,Northwood GC,1776.055,1531.879,1940.388,3.0,3.0
610,Northwood SA,1720.528,1687.641,1532.348,3.0,3.0
611,Northwood SS,1908.198,1332.81,2166.682,3.0,3.0
612,Northwood SY,2078.731,1995.719,1817.418,5.0,3.0
613,Northwood ZG,1893.843,1837.714,1741.6,4.0,3.0
