,Team,ELO,Aff_ELO,Neg_ELO,Aff_Rounds,Neg_Rounds
705,Ronald Reagan CD,623.007,1064.911,732.428,2.0,4.0
706,Ronald Reagan FP,2021.136,2003.597,1789.231,8.0,6.0
707,Ronald Reagan TR,1138.091,1072.086,1107.657,3.0,4.0
708,Rosemount AP,976.091,957.943,1326.888,4.0,3.0
709,Rosemount GM,809.767,933.597,1283.42,3.0,4.0
710,Rosemount PY,857.532,894.196,1125.622,4.0,3.0
711,Rosemount SR,1380.967,1155.709,1440.81,3.0,4.0
712,Rowland Hall CS,1594.686,1441.719,1520.604,12.0,10.0
713,Rowland Hall CU,1787.124,1930.337,1528.876,3.0,3.0
714,Rowland Hall DL,1625.188,1619.095,1546.289,10.0,12.0
715,Rowland Hall GH,2062.101,1962.851,2034.111,22.0,20.0
716,Rowland Hall UL,1645.854,1747.27,1403.075,3.0,3.0
717,Rowland Hall UV,1782.303,1895.162,1635.285,10.0,8.0
718,Rowland Hall VD,1756.733,1711.63,1571.034,3.0,3.0
719,Rufus King MB,1308.713,1311.91,1401.44,3.0,4.0
720,Ruth Batson FN,1514.74,1339.298,1603.103,3.0,3.0
721,Sacred Heart Cathedral Prep BC,1843.254,1864.752,1629.209,7.0,7.0
722,Sacred Heart Cathedral Prep FY,1464.559,1391.914,1753.235,6.0,6.0
723,Sacred Heart Cathedral Prep WL,1181.46,1651.653,1065.225,3.0,3.0
724,Sacred Heart Cathedral Prep WX,1097.707,946.163,1438.667,3.0,3.0
725,Salem Hills DD,1544.215,1258.025,1641.821,3.0,3.0
726,San Marino CJ,1370.238,1211.698,1449.205,10.0,9.0
727,San Marino LC,2047.998,2087.203,1822.716,8.0,6.0
728,San Marino PC,1409.078,1018.769,1857.726,3.0,3.0
729,San Marino PL,1354.813,1569.745,1348.769,3.0,3.0
730,San Marino PM,1401.683,1587.731,1376.475,6.0,6.0
731,Sharks Independent OW,1872.191,1644.533,1854.566,4.0,3.0
732,Sharks Independent SW,1701.876,1689.019,1811.253,4.0,3.0
733,Sharks Independent YL,1533.099,1337.558,1705.122,3.0,3.0
734,Shawnee Mission East BM,1428.699,1498.162,1364.744,5.0,6.0
735,Shawnee Mission East DS,1333.408,1113.894,1552.038,5.0,6.0
736,Shawnee Mission East HT,1871.209,1809.647,1876.355,10.0,9.0
737,Shawnee Mission East HW,1149.506,1235.771,1395.552,3.0,2.0
738,Shawnee Mission East LK,873.807,1197.931,973.388,2.0,3.0
739,Shawnee Mission East LT,2253.481,2153.035,2036.454,3.0,4.0
740,Shawnee Mission East PH,2066.895,1896.035,2040.255,3.0,4.0
741,Shawnee Mission East PL,2262.231,2172.739,2186.31,19.0,22.0
742,Shawnee Mission East TH,1977.416,1748.486,2002.496,3.0,4.0
743,Shawnee Mission South AZ,1392.274,1421.553,1255.8,11.0,13.0
744,Shawnee Mission South KC,1653.55,1413.598,1690.361,12.0,14.0
745,Shawnee Mission South MD,1211.637,1313.749,1373.531,3.0,2.0
746,Shawnee Mission South MJ,2070.913,2089.281,1869.674,16.0,15.0
747,Shawnee Mission South MK,1445.515,1114.178,1527.1,4.0,3.0
748,Shawnee Mission South MM,847.969,1132.73,1090.339,3.0,3.0
749,Shawnee Mission South SB,948.119,1435.731,1013.85,3.0,3.0
750,Shawnee Mission West WS,2003.784,1856.628,2029.76,10.0,12.0
751,Sidwell AA,776.343,998.656,881.715,3.0,3.0
752,Sidwell DJ,1185.762,1401.731,1263.653,3.0,3.0
753,Sidwell FV,1830.849,1806.058,1827.644,7.0,6.0
754,Sidwell Independent VF,1837.645,1750.806,1873.208,4.0,3.0
755,Solon CN,1636.919,1437.332,1681.376,6.0,6.0
756,Solon GH,1876.02,1703.662,1789.53,3.0,3.0
757,Solon HC,1679.966,1171.814,1919.733,3.0,3.0
758,Solorio GC,957.153,1126.107,1182.477,3.0,3.0
759,Solorio GT,1600.0,1600.0,1600.0,0.0,0.0
760,Solorio MA,910.214,1092.232,1039.4,2.0,3.0
761,Solorio MC,1423.738,1381.353,1445.537,13.0,12.0
762,Solorio MP,1131.28,1327.09,941.401,3.0,3.0
763,Solorio SM,1499.184,1427.255,1491.454,6.0,6.0
764,Solorio TV,1672.263,1717.633,1543.687,3.0,3.0
765,Solorio VC,1333.165,1234.627,1489.266,3.0,3.0
766,Somerville KM,1443.834,1391.521,1486.222,3.0,3.0
767,Somerville KS,866.944,1061.051,1045.301,3.0,3.0
768,Somerville WC,999.138,1214.386,916.195,6.0,6.0
769,Sonoma BD,1022.882,1091.756,1323.956,3.0,3.0
770,Sonoma BM,1054.064,1008.649,1448.073,3.0,3.0
771,Sonoma BS,1706.696,1517.158,1594.032,9.0,10.0
772,Sonoma KB,938.679,849.388,1137.868,3.0,3.0
773,Sonoma LY,1729.848,1205.891,1881.569,3.0,3.0
774,Sonoma MK,1518.122,1376.427,1429.055,2.0,3.0
775,Sonoma ML,1904.419,1828.881,1973.344,13.0,13.0
776,Sonoma MM,1688.995,1525.351,1678.9,9.0,10.0
777,Sonoma PB,1257.646,951.129,1558.472,3.0,3.0
778,Sonoma PM,1439.21,1482.775,1278.944,6.0,7.0
779,Sonoma YK,1600.0,1600.0,1600.0,0.0,0.0
780,South Eugene GR,1543.933,1233.547,1814.995,3.0,3.0
781,St Andrew's Episcopal KA,1285.255,1420.36,1239.768,3.0,3.0
782,St Ignatius FK,1726.399,1661.763,1512.877,6.0,6.0
783,St Ignatius GaGo,1979.795,1641.837,2139.95,3.0,2.0
784,St Ignatius GG,1812.427,2036.062,1459.876,3.0,3.0
785,St Lucy's Priory GI,2074.786,2318.489,1771.436,3.0,4.0
786,St Mark's School of Texas BL,1534.213,1725.058,1174.303,3.0,3.0
787,St Mark's School of Texas DH,1807.503,1916.967,1527.638,6.0,6.0
788,St Mark's School of Texas DP,2286.76,2317.036,1911.138,3.0,4.0
789,St Mark's School of Texas GD,1334.603,1343.14,1170.023,9.0,9.0
790,St Mark's School of Texas JB,1995.925,2017.037,1678.587,6.0,7.0
791,St Mark's School of Texas JP,2399.853,2474.259,2197.162,20.0,17.0
792,St Mark's School of Texas LL,1524.591,1758.022,1359.668,3.0,3.0
793,St Mark's School of Texas LP,2130.028,2219.271,1804.658,3.0,3.0
794,St Mark's School of Texas PH,2157.437,2130.743,1906.928,3.0,3.0
795,St Mark's School of Texas TK,1836.485,1713.531,1867.495,9.0,9.0
796,St Paul Central BM,1712.962,1385.584,1901.251,9.0,10.0
797,St Paul Central EB,1030.227,1466.676,690.547,4.0,3.0
798,St Paul Central MC,1837.359,1876.277,1552.022,10.0,9.0
799,St Paul Central NL,1434.399,1314.375,1903.425,4.0,3.0
800,St Paul Central UB,2222.637,2068.582,2270.807,17.0,17.0
801,St Paul Central WC,1559.945,1509.789,1447.658,7.0,6.0
802,Stockdale GT,1731.675,1944.449,1636.836,2.0,3.0
803,Stuyvesant DE,1100.484,1181.798,1309.232,3.0,3.0
804,Stuyvesant DV,1885.95,1653.303,1888.824,4.0,3.0
805,Stuyvesant FW,1523.932,1829.829,1493.429,3.0,3.0
806,Stuyvesant SK,1861.943,1797.709,1463.695,3.0,3.0
807,Stuyvesant SP,1581.918,2131.307,1028.296,3.0,3.0
808,Stuyvesant WN,1470.809,1422.571,1541.724,3.0,3.0
809,Success Academy HSLA-HARLEM CD,598.737,930.087,963.234,3.0,3.0
810,Success Academy HSLA-MANHATTAN AB,1336.834,1659.675,1149.406,6.0,6.0
811,Success Academy HSLA-MANHATTAN KY,1097.569,1303.45,1270.246,3.0,3.0
812,Success Academy HSLA-MANHATTAN LP,1400.115,1396.898,1452.395,3.0,3.0
813,Success Academy HSLA-MANHATTAN TR,870.547,1184.118,1251.604,3.0,3.0
814,Success Academy HSLA-MANHATTAN WO,1933.547,2108.274,1639.619,3.0,2.0
815,Success Academy HSLA-MANHATTAN WP,2134.984,2408.016,1952.163,7.0,9.0
816,SWW DP,1642.94,1525.896,1859.295,7.0,6.0
817,SWW NN,1774.726,1780.573,1527.683,10.0,9.0
818,SWW WP,1719.199,1794.641,1703.542,6.0,6.0
819,SWW/Banneker BY,1220.576,1342.432,1125.643,3.0,2.0
820,Taipei American CH,1991.57,2053.225,1720.067,13.0,13.0
821,Taipei American HW,1410.756,1327.056,1535.384,8.0,8.0
822,Taipei American LC,1777.179,1610.462,1882.838,9.0,10.0
823,Taipei American LT,1594.531,1605.896,1312.408,3.0,2.0
824,Taipei American YL,2427.237,2489.619,2273.876,19.0,16.0
825,Taipei American YM,1621.651,1653.933,1558.772,8.0,9.0
826,Taipei American YT,1244.695,1008.078,1489.785,3.0,3.0
827,Tartan HJ,1414.219,1422.239,1452.154,4.0,3.0
828,Tartan PM,796.586,1025.808,1062.144,3.0,4.0
829,Thomas Edison AB,1468.092,1329.367,1599.02,4.0,2.0
830,Thomas Kelly MG,1632.562,1663.921,1611.64,9.0,10.0
831,Tomball Memorial CN,994.876,1059.637,1292.054,3.0,3.0
832,Unionville HK,1719.945,1711.231,1573.687,18.0,19.0
833,Unionville Independent KH,1883.292,1633.978,2215.245,3.0,3.0
834,Univ Of Chicago Lab EJ,1571.574,1110.819,2058.26,3.0,3.0
835,Univ Of Chicago Lab LJ,1426.317,1326.926,1418.489,3.0,3.0
836,Univ Of Chicago Lab LL,1830.435,1818.523,1699.498,15.0,14.0
837,Univ Of Chicago Lab SJ,1638.844,1390.44,1614.871,3.0,3.0
838,University OM,2203.665,2248.318,1910.627,8.0,7.0
839,USN CR,1419.911,1347.034,1412.732,5.0,6.0
840,VHTPA GR,1673.059,1506.001,1783.446,6.0,6.0
841,VHTPA MH,1841.805,1796.907,1818.54,6.0,9.0
842,VHTPA ON,1805.949,1461.897,1845.56,3.0,3.0
843,VHTPA TN,1554.397,1779.38,1104.83,3.0,3.0
844,VHTPA TT,1720.224,1593.791,1641.154,3.0,3.0
845,Von Steuben BG,1019.956,1090.536,1164.048,3.0,2.0
846,Von Steuben GL,1541.553,1739.253,1390.681,5.0,7.0
847,Von Steuben LL,1375.698,1538.263,1287.674,3.0,3.0
848,Von Steuben LM,1707.963,1584.065,1702.182,9.0,10.0
849,Von Steuben ML,1410.955,918.55,1636.638,6.0,7.0
850,Walter Payton BR,2058.083,1897.642,2035.245,12.0,13.0
851,Walter Payton BS,2154.173,1849.385,2400.487,5.0,3.0
852,Walter Payton DD,1334.257,1360.285,1316.334,3.0,3.0
853,Walter Payton DI,1849.481,1811.112,1831.106,3.0,3.0
854,Walter Payton JF,1040.698,1355.376,1040.639,3.0,3.0
855,Walter Payton MG,1522.57,1772.354,987.168,3.0,3.0
856,Walter Payton YY,1596.239,1617.929,1411.862,6.0,5.0
857,Washburn Rural BH,1879.009,1921.963,1561.831,14.0,13.0
858,Washburn Rural BL,1367.892,1422.632,1251.054,3.0,3.0
859,Washburn Rural CH,2050.954,1896.059,2060.443,20.0,23.0
860,Washburn Rural CN,2337.378,2400.783,2198.058,26.0,22.0
861,Washburn Rural CR,1908.786,1871.931,1864.377,14.0,16.0
862,Washburn Rural JK,1567.711,1604.452,1744.269,7.0,6.0
863,Washburn Rural RV,1779.884,1970.624,1569.049,6.0,6.0
864,Washington BD,1326.123,1338.948,1277.978,9.0,9.0
865,Washington LZ,1443.641,1304.393,1715.263,3.0,3.0
866,Wayzata KJ,1528.631,1344.861,1438.748,3.0,4.0
867,West Campus (Sacramento) CM,1199.361,1173.426,1403.786,3.0,3.0
868,West HS SLC AK,1981.83,1999.091,1855.735,7.0,6.0
869,West HS SLC JS,2015.21,1967.333,1915.995,9.0,12.0
870,Westlake SB,1447.751,1571.822,1369.056,9.0,9.0
871,Westminster GS,1582.32,1514.478,1557.552,7.0,6.0
872,Westminster HY,1929.872,1845.676,1848.436,16.0,15.0
873,Westminster LY,2032.927,2030.475,1899.135,4.0,3.0
874,Westminster PL,1980.618,1881.692,2056.486,17.0,17.0
875,Westminster VZ,2050.372,1921.987,2089.088,22.0,20.0
876,Westminster YZ,2075.571,2084.632,1726.16,4.0,3.0
877,Westview ST,636.657,1123.306,892.816,2.0,3.0
878,Westwood AS,2134.802,1955.55,2091.05,9.0,11.0
879,Westwood BA,2557.484,2498.981,2513.774,19.0,18.0
880,Westwood GK,2187.929,2082.883,2195.998,15.0,13.0
881,Westwood GS,2110.391,2191.153,2007.97,14.0,13.0
882,Westwood LU,1764.992,1623.555,1774.614,9.0,9.0
883,Westwood ST,1611.142,1545.634,1632.514,6.0,6.0
884,Westwood TL,1672.076,1566.582,1640.214,3.0,4.0
885,Westwood YS,1742.74,1568.182,1749.196,6.0,6.0
886,Whitney Young BM,2255.61,2301.137,2091.198,25.0,26.0
887,Whitney Young SP,2054.804,2003.332,1971.819,9.0,11.0
888,Whitney Young SV,2300.159,2221.286,2064.288,4.0,4.0
889,Whitney Young SW,1597.55,1497.913,1530.808,6.0,6.0
890,Wichita East FS,1175.407,1346.131,1267.609,3.0,3.0
891,Wichita East GL,831.153,1040.0,1034.71,2.0,3.0
892,Wichita East JS,1243.891,1456.187,1046.421,3.0,3.0
893,Wichita East KZ,1586.4,1735.407,1483.939,6.0,6.0
894,Wichita East SZ,701.448,1026.143,1114.143,3.0,2.0
895,Wichita Southeast SK,1232.8,1353.648,1091.143,3.0,2.0
896,Willamette LB,1028.662,1360.44,1075.527,3.0,3.0
897,Willamette PB,1026.261,1077.936,1397.119,3.0,3.0
898,Winston Churchill CL,1187.056,1240.508,1302.195,3.0,3.0
899,Winston Churchill LR,1241.48,1326.942,1273.714,9.0,9.0
900,Winston Churchill LyRo,1080.666,1029.68,1389.896,3.0,3.0
901,Winston Churchill MP,1954.373,1868.746,1911.849,27.0,23.0
902,Winston Churchill RL,991.991,1675.006,889.493,3.0,3.0
903,Woodlands College Park MS,1684.444,1733.917,1550.274,3.0,4.0
904,Woodlands College Park OF,1203.378,1346.362,1194.546,3.0,3.0
905,Woodward AH,1678.101,1653.083,1386.652,9.0,9.0
906,Woodward CM,2292.852,2218.955,2244.028,18.0,20.0
907,Woodward CP,2082.501,2150.342,1891.717,5.0,4.0
908,Woodward CS,1760.863,1952.764,1410.264,3.0,3.0
909,Woodward HY,1860.608,1712.155,1709.845,3.0,3.0
910,Woodward JN,2402.885,2350.725,2273.144,4.0,5.0
911,Woodward JT,1788.061,1606.854,1813.71,16.0,16.0
912,Woodward MP,2434.414,2422.498,2276.45,4.0,6.0
913,Woodward NP,1600.0,1600.0,1600.0,0.0,0.0
914,Woodward PR,1642.327,1613.282,1712.922,3.0,3.0
915,Wylie E. Groves PS,1743.421,1585.847,1627.991,7.0,6.0
916,Wylie E. Groves XC,2164.746,2070.023,2160.747,26.0,19.0
917,Yerba Buena QN,2129.813,2045.483,1943.837,4.0,4.0
918,Barstow GK,1878.689,1676.425,1676.59,3.0,3.0
919,Barstow OT,1531.15,1267.828,1449.544,3.0,3.0
920,Berkeley Prep LZ,1950.638,1836.071,1889.356,11.0,9.0
921,Carrollton School of the Sacred Heart GB,1212.461,1314.639,1146.484,3.0,3.0
922,Carrollton School of the Sacred Heart KL,956.901,1052.888,1197.618,3.0,3.0
923,Glenbrook South WB,2526.565,2440.234,2493.174,19.0,26.0
924,Lexington DS,1894.756,1904.852,1744.786,27.0,26.0
925,Montgomery Bell KR,2114.83,1817.818,2044.312,3.0,3.0
926,Montgomery Bell TB,2321.356,2188.08,2324.01,25.0,25.0
927,Northside  AS,1878.383,1933.095,1346.295,3.0,3.0
928,Northview LN,1706.837,1811.705,1442.225,13.0,12.0
929,NSU EY,2124.361,2032.556,2048.397,3.0,3.0
930,Quarry Lane CA,2110.587,2193.873,2000.363,18.0,18.0
931,Solorio TG,1402.325,1141.654,1431.77,9.0,9.0
932,Sonoma KY,2176.19,2035.418,2129.262,21.0,22.0
933,Woodward PN,2142.61,2000.597,2102.065,18.0,16.0
